Compound,CSID
0.70_740.2115m/z,CSID391982
0.72_779.1879m/z,CSID9896558
1.78_400.1145m/z,CSID21256905
1.78_400.1145m/z,CSID53922
1.78_400.1145m/z,CSID7971
1.78_400.1145m/z,CSID8128494
0.72_726.1775m/z,CSID10128209
0.70_612.6483m/z,CSID28444
0.72_801.1826m/z,CSID4445590
0.92_475.0016m/z,CSID390126
0.70_762.1934m/z,CSID10128142
0.70_762.1934m/z,CSID10128145
0.95_244.1665m/z,CSID2297867
0.95_244.1665m/z,CSID37304
0.95_244.1665m/z,CSID390907
0.95_244.1665m/z,CSID5310
0.77_623.1667m/z,CSID29305007
0.92_341.0423m/z,CSID16934
0.92_341.0423m/z,CSID2297683
0.92_341.0423m/z,CSID389677
0.92_341.0423m/z,CSID5355
0.92_341.0423m/z,CSID58594
0.92_341.0423m/z,CSID65231
0.92_341.0423m/z,CSID8928
0.92_369.0375m/z,CSID13085536
0.92_369.0375m/z,CSID15629
0.92_369.0375m/z,CSID26333121
0.92_369.0375m/z,CSID28184592
0.92_369.0375m/z,CSID388556
0.92_369.0375m/z,CSID389365
0.92_369.0375m/z,CSID389384
0.92_369.0375m/z,CSID390859
0.92_369.0375m/z,CSID391137
0.77_333.0582m/z,CSID11338519
0.77_333.0582m/z,CSID13085536
0.77_333.0582m/z,CSID15629
0.77_333.0582m/z,CSID169711
0.77_333.0582m/z,CSID26333121
0.77_333.0582m/z,CSID28184592
0.77_333.0582m/z,CSID29212623
0.77_333.0582m/z,CSID34683
0.77_333.0582m/z,CSID388556
0.77_333.0582m/z,CSID389365
0.77_333.0582m/z,CSID389384
0.77_333.0582m/z,CSID390859
0.77_333.0582m/z,CSID391137
0.77_333.0582m/z,CSID391139
0.77_333.0582m/z,CSID4444920
0.77_333.0582m/z,CSID4445021
1.17_201.1360m/z,CSID110375
1.17_201.1360m/z,CSID388593
0.77_640.1402m/z,CSID10128577
0.77_640.1402m/z,CSID4444500
1.08_416.0988m/z,CSID1621
1.08_416.0988m/z,CSID37284
1.08_416.0988m/z,CSID4514700
1.08_416.0988m/z,CSID570988
0.77_625.1861m/z,CSID8252667
1.45_319.0957m/z,CSID29344
1.45_319.0957m/z,CSID59865
0.97_350.1530m/z,CSID108739
0.97_350.1530m/z,CSID20117974
0.97_350.1530m/z,CSID29273172
0.97_350.1530m/z,CSID35160
0.97_350.1530m/z,CSID390255
0.97_350.1530m/z,CSID391189
0.97_350.1530m/z,CSID4444200
0.97_350.1530m/z,CSID4945213
0.97_350.1530m/z,CSID9373993
0.73_553.1056m/z,CSID24022786
0.73_553.1056m/z,CSID30791483
0.73_574.1574m/z,CSID10128363
0.73_574.1574m/z,CSID10128364
0.73_574.1574m/z,CSID30791079
0.73_574.1574m/z,CSID391949
0.73_574.1574m/z,CSID8025921
2.04_946.1941m/z,CSID28184690
0.97_168.0777m/z,CSID25097
0.97_168.0777m/z,CSID37226
0.97_168.0777m/z,CSID58494
0.97_168.0777m/z,CSID81836
0.93_367.0198m/z,CSID141140
0.93_367.0198m/z,CSID21106510
0.93_367.0198m/z,CSID29215783
0.93_367.0198m/z,CSID30790946
0.93_367.0198m/z,CSID392380
0.93_367.0198m/z,CSID421123
0.93_367.0198m/z,CSID4444282
0.93_367.0198m/z,CSID4444997
0.93_367.0198m/z,CSID4445351
0.93_367.0198m/z,CSID64667
0.93_367.0198m/z,CSID82650
0.95_359.0077m/z,CSID10085
0.95_359.0077m/z,CSID388535
0.95_359.0077m/z,CSID5808
0.95_359.0077m/z,CSID8037772
0.95_359.0077m/z,CSID91753
0.95_359.0077m/z,CSID91808
1.80_357.1907m/z,CSID217135
1.80_357.1907m/z,CSID4579849
1.80_357.1907m/z,CSID9676143
1.47_311.0372m/z,CSID3280
2.28_321.0957m/z,CSID10128654
2.28_321.0957m/z,CSID30791331
2.28_321.0957m/z,CSID391178
2.28_321.0957m/z,CSID391644
2.28_321.0957m/z,CSID5732
2.28_321.0957m/z,CSID64506
2.28_321.0957m/z,CSID84407
0.95_330.0628m/z,CSID12079
0.95_330.0628m/z,CSID29975
0.95_330.0628m/z,CSID3890
0.95_330.0628m/z,CSID4340
0.95_330.0628m/z,CSID56590
3.19_279.1952m/z,CSID4444322
3.19_279.1952m/z,CSID4446265
3.19_279.1952m/z,CSID4573568
3.19_279.1952m/z,CSID892
1.83_226.0857m/z,CSID13117
1.83_226.0857m/z,CSID140145
1.83_226.0857m/z,CSID164728
1.83_226.0857m/z,CSID191796
1.83_226.0857m/z,CSID19332
1.83_226.0857m/z,CSID61532
0.67_229.0454m/z,CSID10197144
0.67_229.0454m/z,CSID10254649
0.67_229.0454m/z,CSID10254652
0.67_229.0454m/z,CSID10369209
0.67_229.0454m/z,CSID144315
0.67_229.0454m/z,CSID18830381
0.67_229.0454m/z,CSID19101527
0.67_229.0454m/z,CSID21864849
0.67_229.0454m/z,CSID24690620
0.67_229.0454m/z,CSID389009
0.67_229.0454m/z,CSID389085
0.67_229.0454m/z,CSID389086
0.67_229.0454m/z,CSID391468
0.67_229.0454m/z,CSID391469
0.67_229.0454m/z,CSID85024
0.67_229.0454m/z,CSID88945
