"","Input","MF.64p.Th.1","MF.64p.Th.2","MF.64p.Th.3","MF.64p.Th.4","MF.PC.03","MF.PC.04","MF.PC.05","MF.PC.06","p_value","fc","Input Type","Symbol","Name","Feature Type","Entrez Gene ID","dup"
"1","1600014C10Rik","538.4884488","513.5012856","653.999731","788.6045574","150.9457901","188.9662217",131.6688326,199.0844019,0.00396549984582017,3.7195814701335,"current symbol","1600014C10Rik","RIKEN cDNA 1600014C10 gene","protein coding gene",72244,FALSE
"2","1700001G11Rik","7.13771475","3.928578775","4.731427034","5.001377938","3.869775887","1",1,1,0.0127054074681847,3.02762402138316,"current symbol","1700001G11Rik","RIKEN cDNA 1700001G11 gene","unclassified non-coding RNA gene",69303,FALSE
"3","1700003F12Rik","11.52179671","11.54288359","9.70666308","5.668274261","1","1",1,2.935678194,0.00635777930731396,6.4760279086316,"current symbol","1700003F12Rik","RIKEN cDNA 1700003F12 gene","protein coding gene",75480,FALSE
"4","2010300C02Rik","2.753632786","4.51429453","3.487618023","6.335170584","1","1",1,1,0.0244087304615231,4.27267898075,"current symbol","2010300C02Rik","RIKEN cDNA 2010300C02 gene","protein coding gene",72097,FALSE
"5","2210011C24Rik","24.67404261","25.01434595","27.11998924","27.0089566","1","1",1,1,3.8005932312473e-05,25.9543336,"current symbol","2210011C24Rik","RIKEN cDNA 2210011C24 gene","protein coding gene",70134,FALSE
"6","2310074N15Rik","2.753632786","4.51429453","2.243809011","3.000688969","1","1",1,1,0.0223123321046915,3.128106324,"current symbol","2310074N15Rik","RIKEN cDNA 2310074N15 gene","lincRNA gene",75588,FALSE
"7","2410021H03Rik","20.28996064","26.77149322","32.09522529","39.01309041","1","1",1,1,0.00556060683091855,29.54244239,"current symbol","2410021H03Rik","RIKEN cDNA 2410021H03 gene","antisense lncRNA gene",69750,FALSE
"8","2510016D11Rik","7.13771475","8.02858906","15.92570814","10.33654852","1","1",2.757876672,1,0.0177514300507126,7.19511077259836,"current symbol","2510016D11Rik","RIKEN cDNA 2510016D11 gene","unclassified gene",70289,FALSE
"9","2600006K01Rik","5.384081964","2.17143151","6.597140552","6.335170584","1","1",1.585958891,1,0.0284325638916006,4.46751161468272,"current symbol","2600006K01Rik","RIKEN cDNA 2600006K01 gene","antisense lncRNA gene",70319,FALSE
"10","2610307P16Rik","3.630449178","4.51429453","3.487618023","6.335170584","1","1.610279941",1,1.645226065,0.0133857572668152,3.41880159483924,"current symbol","2610307P16Rik","RIKEN cDNA 2610307P16 gene","unclassified non-coding RNA gene",72518,FALSE
"11","2610528A11Rik","8.891347535","10.37145208","14.05999462","8.335859552","1.717443972","1",1.585958891,5.516582453,0.00333607047051993,4.24223178003375,"current symbol","2610528A11Rik","RIKEN cDNA 2610528A11 gene","protein coding gene",70045,FALSE
"12","2900026A02Rik","59.74669832","69.52874333","112.3209065","89.03031463","1.717443972","15.64671857",10.37534225,7.452260647,0.00602032953793594,9.39500075246566,"current symbol","2900026A02Rik","RIKEN cDNA 2900026A02 gene","protein coding gene",243219,FALSE
"13","2900052N01Rik","69.39167864","89.443079","114.8085245","68.35652862","1","1.610279941",1,1,0.00449271578658955,74.1820052440933,"current symbol","2900052N01Rik","RIKEN cDNA 2900052N01 gene","lincRNA gene",73040,FALSE
"14","2900092N22Rik","26.42767539","26.77149322","26.49808474","23.67447498","1","2.220559881",1,1,5.96040062907004e-06,19.8008893081022,"current symbol","2900092N22Rik","RIKEN cDNA 2900092N22 gene","unclassified gene",73107,FALSE
"15","4833407H14Rik","7.13771475","9.20002057","6.597140552","7.002066907","1.717443972","1",1,5.516582453,0.0100610133508148,3.2420248114029,"current symbol","4833407H14Rik","RIKEN cDNA 4833407H14 gene","lincRNA gene",73899,FALSE
