"","PATHWAY_ID","PATHWAY","TOTAL_COMP","COMP_MATCH","COMP_P_VALUE","TOTAL_GENE","GENE_MATCH","GENE_P_VALUE","TOTAL_COMPONENT","COMPONENT_MATCH","COMPONENT_P_VALUE"
"1","path:mmu00010","Glycolysis / Gluconeogenesis - Mus musculus (mouse)"," 31"," 2","0.542318135956211"," 66"," 6","0.38972139"," 97"," 8","0.286198205632"
"2","path:mmu00020","Citrate cycle (TCA cycle) - Mus musculus (mouse)"," 20"," 2","0.322679597263857"," 32"," 0","1.00000000"," 52"," 2","0.857976525179"
"3","path:mmu00030","Pentose phosphate pathway - Mus musculus (mouse)"," 35","10","0.000016566131040"," 32"," 2","0.71506609"," 67","12","0.000995958325"
"4","path:mmu00040","Pentose and glucuronate interconversions - Mus musculus (mouse)"," 55","14","0.000001477925227"," 34"," 0","1.00000000"," 89","14","0.001467785196"
"5","path:mmu00051","Fructose and mannose metabolism - Mus musculus (mouse)"," 54"," 4","0.379987263325351"," 35"," 2","0.76086359"," 89"," 6","0.516010229460"
"6","path:mmu00052","Galactose metabolism - Mus musculus (mouse)"," 46"," 5","0.123117212694971"," 32"," 2","0.71506609"," 78"," 7","0.235413562260"
"7","path:mmu00053","Ascorbate and aldarate metabolism - Mus musculus (mouse)"," 49","16","0.000000004866557"," 27"," 1","0.88450901"," 76","17","0.000004282272"
"8","path:mmu00061","Fatty acid biosynthesis - Mus musculus (mouse)"," 58"," 0","1.000000000000000"," 19"," 1","0.78025123"," 77"," 1","0.994323603158"
"9","path:mmu00062","Fatty acid elongation - Mus musculus (mouse)"," 40"," 0","1.000000000000000"," 29"," 2","0.66221132"," 69"," 2","0.943171516995"
"10","path:mmu00071","Fatty acid degradation - Mus musculus (mouse)"," 50"," 0","1.000000000000000"," 50"," 3","0.74882726","100"," 3","0.961279799008"
"11","path:mmu00072","Synthesis and degradation of ketone bodies - Mus musculus (mouse)","  6"," 0","1.000000000000000"," 11"," 3","0.04544061"," 17"," 3","0.092083171599"
"12","path:mmu00100","Steroid biosynthesis - Mus musculus (mouse)"," 58"," 0","1.000000000000000"," 20"," 0","1.00000000"," 78"," 0","1.000000000000"
"13","path:mmu00120","Primary bile acid biosynthesis - Mus musculus (mouse)"," 47"," 0","1.000000000000000"," 16"," 2","0.34789542"," 63"," 2","0.920990248094"
"14","path:mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)"," 92"," 1","0.996142408031595"," 11"," 0","1.00000000","103"," 1","0.999029376790"
"15","path:mmu00140","Steroid hormone biosynthesis - Mus musculus (mouse)"," 99"," 0","1.000000000000000"," 89"," 0","1.00000000","188"," 0","1.000000000000"
"16","path:mmu00190","Oxidative phosphorylation - Mus musculus (mouse)"," 16"," 0","1.000000000000000","133"," 3","0.99859740","149"," 3","0.997196870248"
"17","path:mmu00220","Arginine biosynthesis - Mus musculus (mouse)"," 23"," 4","0.040150431252218"," 19"," 2","0.43165040"," 42"," 6","0.050292021522"
"18","path:mmu00230","Purine metabolism - Mus musculus (mouse)"," 95","13","0.002725645069690","136","14","0.14632877","231","27","0.001623281736"
"19","path:mmu00232","Caffeine metabolism - Mus musculus (mouse)"," 22"," 1","0.731000281677247","  6"," 0","1.00000000"," 28"," 1","0.845941489973"
"20","path:mmu00240","Pyrimidine metabolism - Mus musculus (mouse)"," 65","16","0.000000415635463"," 58"," 7","0.14761144","123","23","0.000002455169"
"21","path:mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)"," 28"," 5","0.020130687647777"," 38"," 2","0.80019971"," 66"," 7","0.130242579731"
"22","path:mmu00260","Glycine, serine and threonine metabolism - Mus musculus (mouse)"," 50"," 3","0.558773800724203"," 40"," 3","0.59975274"," 90"," 6","0.527161597959"
"23","path:mmu00270","Cysteine and methionine metabolism - Mus musculus (mouse)"," 63"," 4","0.498034412493129"," 52"," 2","0.91763776","115"," 6","0.760893351180"
"24","path:mmu00280","Valine, leucine and isoleucine degradation - Mus musculus (mouse)"," 42"," 2","0.708100726211443"," 56"," 4","0.63033552"," 98"," 6","0.612136801351"
"25","path:mmu00290","Valine, leucine and isoleucine biosynthesis - Mus musculus (mouse)"," 23"," 2","0.386816527758137","  4"," 0","1.00000000"," 27"," 2","0.527131685855"
"26","path:mmu00310","Lysine degradation - Mus musculus (mouse)"," 54"," 5","0.198704576246551"," 61"," 2","0.95488299","115"," 7","0.618363852819"
"27","path:mmu00330","Arginine and proline metabolism - Mus musculus (mouse)"," 78","12","0.001428928242552"," 50"," 6","0.17629461","128","18","0.001261545035"
"28","path:mmu00340","Histidine metabolism - Mus musculus (mouse)"," 47"," 8","0.004754023221241"," 24"," 1","0.85294632"," 71"," 9","0.037148929505"
"29","path:mmu00350","Tyrosine metabolism - Mus musculus (mouse)"," 78"," 1","0.990909266944417"," 40"," 1","0.95967169","118"," 2","0.996740318270"
"30","path:mmu00360","Phenylalanine metabolism - Mus musculus (mouse)"," 60"," 0","1.000000000000000"," 23"," 0","1.00000000"," 83"," 0","1.000000000000"
"31","path:mmu00380","Tryptophan metabolism - Mus musculus (mouse)"," 82"," 8","0.097921466989411"," 48"," 5","0.30113378","130","13","0.073925292181"
"32","path:mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)"," 35"," 1","0.876756445872868","  8"," 0","1.00000000"," 43"," 1","0.943705571435"
"33","path:mmu00410","beta-Alanine metabolism - Mus musculus (mouse)"," 32"," 7","0.001863582057041"," 32"," 4","0.22347089"," 64","11","0.002269609094"
"34","path:mmu00430","Taurine and hypotaurine metabolism - Mus musculus (mouse)"," 22"," 0","1.000000000000000"," 11"," 2","0.20232420"," 33"," 2","0.637585260082"
"35","path:mmu00440","Phosphonate and phosphinate metabolism - Mus musculus (mouse)"," 57"," 3","0.648926415548222","  6"," 0","1.00000000"," 63"," 3","0.782079628087"
"36","path:mmu00450","Selenocompound metabolism - Mus musculus (mouse)"," 27"," 1","0.800679990485623"," 17"," 0","1.00000000"," 44"," 1","0.947366025141"
"37","path:mmu00471","D-Glutamine and D-glutamate metabolism - Mus musculus (mouse)"," 13"," 2","0.170515559215308","  4"," 0","1.00000000"," 17"," 2","0.300361866543"
"38","path:mmu00472","D-Arginine and D-ornithine metabolism - Mus musculus (mouse)"," 11"," 7","0.000000515726249","  1"," 0","1.00000000"," 12"," 7","0.000002578802"
"39","path:mmu00480","Glutathione metabolism - Mus musculus (mouse)"," 38"," 2","0.654434726145867"," 65"," 7","0.22202858","103"," 9","0.217280573267"
"40","path:mmu00500","Starch and sucrose metabolism - Mus musculus (mouse)"," 37"," 2","0.639854445297059"," 33"," 2","0.73108874"," 70"," 4","0.669784713115"
"41","path:mmu00510","N-Glycan biosynthesis - Mus musculus (mouse)"," 38"," 1","0.897122345866005"," 50"," 2","0.90613832"," 88"," 3","0.929987031746"
