"","KEGG_ID","CSID"
"1","C12645",391982
"7","C08552",10128209
"8","C18392",28444
"10","C08098",390126
"11","C04660",10128142
"12","C04709",10128145
"13","C08010",2297867
"15","C09862",390907
"17","C03184",29305007
"19","C14432",2297683
"20","C05906",389677
"22","C12127",58594
"23","C12136",65231
"24","C00200",8928
"25","C10517",13085536
"26","C18347",15629
"27","C04703",26333121
"28","C01225",28184592
"30","C04641",389365
"32","C09770",390859
"34","C18599",11338519
"35","C18840",169711
"36","C17114",29212623
"38","C10527",391139
"39","C10019",4444920
"40","C10199",4445021
"41","C03626",110375
"42","C01404",388593
"51","C14223",59865
"52","C13326",108739
"53","C03300",20117974
"54","C16449",29273172
"56","C08518",390255
"57","C10635",391189
"59","C16431",4945213
"61","C16224",24022786
"63","C14855",10128363
"64","C14856",10128364
"65","C12472",30791079
"67","C06450",8025921
"68","C20321",28184690
"71","C01152",58494
"72","C03298",81836
"73","C01103",141140
"74","C18729",21106510
"75","C17184",29215783
"76","C17117",30790946
"77","C05325",392380
"78","C17118",421123
"79","C04527",4444282
"80","C10118",4444997
"81","C12633",4445351
"82","C18386",64667
"83","C06196",82650
"84","C14574",10085
"85","C01168",388535
"86","C00105",5808
"87","C18573",8037772
"88","C01368",91753
"89","C03031",91808
"90","C14959",217135
"93","C07653",3280
"95","C19076",30791331
"96","C10610",391178
"97","C11819",391644
"98","C14251",5732
"100","C11697",84407
"101","C00360",12079
"106","C04867",4444322
"107","C20388",4446265
"109","C02567",892
"110","C00881",13117
"112","C03621",164728
"113","C15344",191796
"114","C04081",19332
"115","C10679",61532
"116","C03365",10197144
"117","C03659",10254649
"118","C08257",10254652
"119","C03844",10369209
"121","C03660",18830381
"122","C06353",19101527
"123","C06352",21864849
"124","C05163",24690620
"128","C11429",391468
"129","C11431",391469
"130","C03619",85024
"131","C11432",88945
"132","C11430",9812
"133","C02385",227
"134","C00062",6082
"135","C00792",64224
"137","C19214",16735746
"139","C08483",4444600
"140","C11206",5717
"141","C09953",83301
"142","C10215",65237
"144","C17975",30791541
"146","C15598",2938726
"147","C00386",388363
"148","C02345",388778
"149","C06486",389863
"150","C09757",390854
"151","C10276",4445035
"152","C13632",4445417
"153","C10325",87956
"155","C13716",113034
"156","C11692",4445240
"157","C01735",4573586
"159","C10634",79248
"161","C13751",97202
"163","C07446",5709
"164","C06813",7138
"165","C00253",913
"166","C10164",993
"167","C19189",55149
"168","C07585",64672
"171","C10933",82874
"172","C01204",16735966
"175","C20585",30790752
"176","C13870",13849665
"177","C09693",390830
"178","C04834",4444315
"179","C09694",4444856
"182","C20121",8533001
"184","C09336",164274
"185","C06913",25129
"186","C12224",391828
"187","C09501",10128235
"189","C01045",388496
"190","C05520",389588
"191","C15996",393739
"192","C01042",58576
"193","C00941",18153
"194","C10668",391204
"195","C14936",4821691
"196","C02354",62159
"197","C00311",1161
"199","C03600",33697
"200","C00679",388423
"201","C03921",389156
"202","C04575",389343
"203","C04617",394789
"204","C00451",4477081
"205","C02780",92407
"206","C14010",21949
"207","C13142",4589883
"209","C10311",391077
"210","C10205",4445024
"212","C15567",10128503
"213","C01263",114790
"214","C18255",133360
"216","C16232",24784895
"217","C12087",30791104
"218","C00509",388383
"219","C01592",388621
"220","C03567",389058
"221","C09751",390851
"222","C06561",4444447
"223","C08578",4444634
"225","C17673",4479581
"227","C06953",45864
"228","C20463",58657
"229","C09047",65436
"230","C09826",65962
"231","C18249",7822253
"232","C14458",8014076
"233","C09614",83750
"235","C01187",106511
"237","C04359",13085531
"238","C15218",190363
"240","C02333",388772
"242","C10596",391170
"243","C10052",4444941
"244","C10053",4444942
"245","C10069",4444958
"246","C10092",4444980
"249","C15182",10128412
"251","C05401",10263569
"252","C09165",114167
"253","C17590",1166
"254","C09728",158494
"255","C08739",161100
"256","C07819",3070
"258","C01716",3693
"259","C03648",389080
"260","C05907",389678
"261","C08742",390377
"262","C09030",390545
"263","C09511",390754
"264","C09736",390841
"265","C10505",391131
"266","C11546",391519
"267","C09787",4444875
"268","C09796",4444877
"271","C09727",65230
"272","C14079",65929
"273","C19017",7585
"274","C06562",8711
"275","C19895",92982
"276","C04876",30791312
"278","C11428",102747
"279","C16205",13338392
"280","C12537",13856959
"281","C16203",158565
"282","C08255",16736295
"283","C07666",2849
"286","C04468",389315
"288","C08260",390172
"289","C01745",4444110
"290","C14233",4445526
"292","C20228",555423
"294","C20227",580812
"295","C01408",8093
"296","C08102",390129
"299","C11238",2303
"302","C13739",571062
"303","C05565",761
"304","C08970",30791204
"305","C00307",13207
"308","C07571",4481878
"310","C16508",9186651
"311","C11310",36101
"312","C14280",75385
"313","C13672",1184
"316","C15504",10128486
"317","C18423",10441969
"318","C06499",114711
"321","C02927",30791422
"322","C01268",388566
"324","C12600",4602
"325","C06857",6573
"326","C02868",89997
"327","C10755",30791150
"330","C20519",5429202
"332","C20171",142218
"334","C01367",37610
"335","C04378",389289
"336","C14568",47944
"337","C19970",4883392
"338","C00362",58570
"339","C00020",5858
"340","C00946",84953
"343","C18251",141297
"344","C18257",14932
"345","C18258",15939
"347","C01546",10251740
"349","C10556",306417
"350","C00019",31982
"351","C11601",4445229
"354","C00250",1021
"355","C14171",10358
"356","C05831",224233
"357","C12323",33241
"358","C06051",389729
"359","C14170",70184
"360","C03493",81106
"361","C03986",85923
"362","C07888",2804
"364","C07047",3562
"365","C01067",388504
"366","C02827",388869
"370","C17238",30791706
"371","C07905",3762
"372","C04524",389328
"373","C15296",4526816
"374","C07630",16218
"377","C19949",97186
"378","C16833",30791738
"379","C18791",102925
"380","C15019",213722
"381","C14997",215115
"382","C17413",30089
"383","C08781",390396
"384","C14894",4512695
"387","C08951",390500
"388","C09463",390733
"389","C09636",390804
"390","C09405",4444785
"391","C14895",4512696
"392","C20138",21250960
"393","C12310",391860
"394","C17968",16736502
"397","C04713",90571
"398","C08426",570940
"399","C13805",113990
"400","C19217",11448
"402","C19013",22177
"403","C18836",22369729
"405","C18360",30791367
"406","C18356",30791370
"407","C18354",30791371
"408","C02267",388759
"409","C07541",390048
"410","C08740",390376
"411","C08761",390387
"412","C12270",5065
"418","C08495",90622
"419","C13482",133469
"420","C20313",25940664
"424","C00204",141630
"425","C05410",144747
"427","C03861",167346
"428","C01216",168361
"429","C17101",21427965
"430","C00691",21864837
"431","C16637",21865552
"432","C20251",21865814
"433","C16737",21865815
"434","C00273",278141
"435","C17577",30791622
"436","C00158",36
"437","C00672",388420
"438","C00673",388421
"440","C01040",388493
"441","C01115",388522
"442","C02669",388836
"443","C02692",388842
"444","C02779",388856
"445","C03107",388942
"446","C03269",388988
"447","C05162",389479
"448","C05394",389534
"449","C06892",389983
"450","C11437",391473
"451","C03926",4573592
"453","C03932",544
"456","C00198",6760
"457","C03383",87703
"459","C19679",9096312
"461","C20680",9484818
"462","C08543",30776604
"464","C09788",66162
"465","C05526",8630564
"467","C11084",40198
"468","C07417",4563
"469","C10631",86397
"471","C05678",389626
"472","C00065",5736
"473","C00716",597
"474","C00740",64231
"475","C00346",990
"476","C10334",97126
"478","C03646",30791415
"482","C17944",20145035
"484","C08026",4575389
"485","C12531",5188
"491","C05711",29368601
"492","C02852",388874
"494","C07708",390074
"495","C12067",391761
"496","C15045",4713770
"497","C00475",5940
"498","C02961",6017
"499","C03741",114525
"500","C00430",134
"501","C01165",167744
"502","C01110",388519
"503","C03341",389003
"504","C03440",389028
"505","C01015",389029
"506","C03651",389081
"507","C05147",389475
"508","C19706",5447158
"509","C01157",5605
"511","C01073",68881
"513","C19021",31725
"514","C07104",3827
"515","C06878",389978
"518","C17839",4479464
"521","C19612",167386
"522","C11165",16744232
"523","C02076",388716
"524","C03274",388990
"525","C06355",389816
"526","C08236",390153
"527","C08355",390207
"529","C09285",4659
"530","C02162",61391
"531","C16361",71754
"532","C01262",100482
"533","C17021",10470637
"535","C17483",144403
"536","C09950",152480
"537","C14234",2274931
"540","C20407",28533317
"541","C19124",35550
"542","C01425",388598
"543","C04138",389222
"544","C09489",390746
"545","C09582",390780
"546","C09584",390781
"547","C17838",4474622
"548","C15131",4834178
"549","C14549",63119
"550","C09926",79667
"551","C00884",80527
"552","C05282",83831
"554","C14318",8763
"555","C19327",8764
"556","C19251",8777
"557","C17575",30791624
"560","C09930",390939
"561","C18934",80234
"564","C10025",58507
"565","C00796",10183330
"566","C12376",391886
"568","C19375",8761
"570","C07142",35632
"571","C18436",5190
"573","C04064",111287
"574","C04062",113834
"575","C00354",150604
"577","C01220",17216032
"578","C03693",2300632
"581","C03785",389117
"582","C04063",389196
"583","C01231",74362
"584","C00665",94762
"585","C05378",9848
"586","C00096",17372
"587","C00394",24608058
"588","C01581",30791442
"589","C15925",30792002
"592","C02280",388761
"595","C17971",30791545
"596","C11661",391578
"599","C07384",64827
"600","C01512",80905
"601","C16607",8243682
"602","C00178",1103
"603","C14687",13836591
"604","C20335",13837670
"605","C20657",190756
"606","C03044",196452
"607","C03046",388924
"608","C02835",86856
"609","C06056",167988
"610","C00147",185
"611","C03059",388929
"613","C10837",391294
"614","C18443",83451
"617","C18917",31583
"618","C07415",39888
"621","C05578",102690
"622","C00650",145901
"623","C02775",20546
"624","C03574",389
"625","C03742",389105
"626","C09957",390956
"627","C07418",5643
"628","C11130",5872
"629","C00073",5907
"630","C00855",76512
"631","C01733",853
"632","C18655",12938
"633","C01062",152
"634","C01112",163687
"635","C06239",17229503
"636","C03342",19337957
"637","C03291",21230426
"639","C06473",2299693
"640","C19137",2301543
"641","C20248",26332127
"642","C00117",388313
"643","C00199",388327
"644","C00231",388330
"645","C00333",388354
"646","C00620",388373
"647","C00558",388398
"648","C00618",388406
"649","C00905",388470
"650","C01101",388516
"651","C02024",388704
"652","C03736",389102
"653","C03737",389103
"654","C03906",389151
"655","C06238",389787
"656","C06441",389840
"657","C06472",389858
"658","C06477",389860
"659","C06814",389974
"660","C08348",390200
"661","C08350",390202
"664","C13085",58552
"666","C18724",8205
"668","C00191",85463
"669","C15673",92502
"670","C17401",30791672
"672","C15122",4877064
"673","C11085",53919
"676","C08959",390506
"678","C00075",5903
"679","C03227",11318
"680","C17878",136004
"681","C01927",141259
"682","C16208",15537041
"683","C07312",17270
"684","C08261",2179
"685","C02099",388723
"686","C05651",389616
"687","C14231",4445524
"688","C14232",4445525
"689","C09321",553827
"691","C02794",87
"692","C00766",9833
"696","C07574",56098
"698","C16578",4514548
"699","C16643",4588593
"703","C13440",18069
"704","C13179",3240
"705","C16862",30790956
"706","C09268",10295
"707","C17216",11290591
"708","C01173",388539
"709","C03081",4444190
"713","C07323",10642377
"714","C12189",140368
"717","C08197",7950
"718","C05635",1760
"719","C16596",19250428
"720","C02712",395338
"721","C06725",4573742
"723","C18905",30791335
"724","C20641",28639397
"726","C18901",83452
"727","C20337",19242
"729","C00318",10455
"730","C15025",2006614
"731","C19430",2707452
"732","C12245",391843
"735","C02997",68142
"738","C00819",128633
"739","C05100",141172
"740","C16673",144380
"741","C00064",5746
"742","C00303",718
"746","C19031",19113
"747","C13785",263773
"748","C17017",30791720
"750","C18974",69741
"752","C15095",219690
"754","C05392",30791302
"755","C04733",389396
"756","C06118",389403
"757","C06187",389766
"758","C09216",4444756
"762","C14340",72819
"764","C05340",389522
"767","C00437",388369
"768","C01047",388498
"769","C18459",77730
"770","C11486",391491
"771","C15642",4488475
"772","C07471",1916
"773","C20640",30785740
"774","C12632",4445350
"775","C01602",380
"776","C03943",389160
"777","C00077",6026
"778","C00515",64236
"780","C20277",26001508
"781","C01142",388530
"782","C01186",388540
"783","C05161",389478
"784","C00739",51793
"785","C00047",5747
"786","C16440",843
"791","C16881",30790952
"793","C12474",20118160
"798","C11368",65391
"800","C05643",1794
"802","C08482",4444599
"803","C08509",4444610
"804","C16309",4472314
"805","C07423",5762
"807","C16311",7827712
"808","C05533",389591
"809","C19469",7167
"810","C13765",38399
"812","C18264",131860
"813","C18263",145344
"814","C16644",21864821
"815","C11799",2339844
"817","C06579",389890
"818","C09853",390903
"819","C19244",45327
"820","C19180",48285
"821","C07431",55051
"822","C18250",7822254
"823","C18265",7822260
"824","C18266",7822261
"825","C17454",8256975
"826","C00974",109514
"827","C10415",158294
"828","C16940",163674
"829","C16233",24784730
"830","C01378",388591
"831","C05631",389606
"832","C12631",391978
"833","C08724",4444680
"834","C10060",4444949
"835","C10064",4444953
"836","C10083",4444972
"837","C10091",4444979
"839","C15525",4574483
"840","C09277",65985
"844","C12739",17322
"849","C11736",5586
"851","C19602",137921
"852","C19563",21374642
"855","C19566",28682020
"856","C02778",5686
"858","C03432",10128123
"859","C02037",10690
"860","C02642",109
"861","C00366",1142
"862","C19301",11506
"863","C19258",19953632
"864","C16438",231
"865","C01043",388495
"866","C01905",388679
"867","C00152",6031
"868","C09550",10807
"869","C16985",141828
"870","C09611",173542
"871","C08524",30791232
"873","C12178",391798
"875","C11787",4447643
"876","C06173",4481822
"878","C10670",66130
"880","C07070",25037
"881","C07906",25996
"882","C10312",2845
"885","C01474",6056
"886","C11337",61887
"887","C14267",6518
"889","C16604",10522208
"892","C10173",46788
"893","C02710",64075
"894","C16420",7822150
"898","C15699",20148392
"899","C05341",389523
"900","C20679",1120
"902","C19285",13002
"903","C01620",388628
"906","C00262",768
"907","C08305",7827534
"908","C18517",9670858
"911","C01185",108822
"912","C08726",144246
"913","C19090",17408
"914","C07933",5036403
"916","C13168",392057
"920","C17874",30790816
"922","C07780",4444525
"923","C07783",4444527
"924","C10275",4445034
"926","C11708",5164
"928","C10823",83713
"930","C18962",19053
"933","C04392",389293
"936","C09331",390679
"940","C17998",30791520
"942","C15559",10128500
"946","C19994",8929308
"947","C00570",110296
"949","C10937",49630
"950","C08108",5013196
"952","C02067",14319
"953","C16745",17305
"954","C00299",5807
"955","C15744",30792048
"958","C18762",8078
"959","C20575",96988
"960","C05797",10399509
"961","C15043",20135676
"963","C17019",9119354
"964","C07128",3918
"967","C11792",9697
"968","C14167",9945
"969","C11188",10672
"971","C03683",4444228
"972","C18531",30791364
"975","C13749",5160
"976","C15617",5492
"977","C00055",5901
"978","C05822",59906
"979","C15270",8696
"980","C03104",91754
"981","C01933",19964
"982","C02486",2042285
"983","C01570",388617
"985","C08263",390173
"986","C02378",548
"987","C00123",5880
"988","C00407",6067
"989","C16647",66762
"990","C06418",69017
"991","C16434",769
"992","C16439",834
"995","C01347",388587
"996","C00104",6570
"997","C01162",133517
"998","C00135",6038
"999","C06419",64237
"1000","C00768",752
"1002","C10285",4445040
