"","unlist.path_comp3."
"1","C00022"
"2","C00024"
"3","C00031"
"4","C00033"
"5","C00036"
"6","C00068"
"7","C00074"
"8","C00084"
"9","C00103"
"10","C00111"
"11","C00118"
"12","C00186"
"13","C00197"
"14","C00221"
"15","C00236"
"16","C00267"
"17","C00469"
"18","C00631"
"19","C00668"
"20","C01159"
"21","C01172"
"22","C01451"
"23","C05125"
"24","C05345"
"25","C05378"
"26","C06186"
"27","C06187"
"28","C06188"
"29","C15972"
"30","C15973"
"31","C16255"
"34","C00026"
"36","C00042"
"39","C00091"
"40","C00122"
"41","C00149"
"42","C00158"
"43","C00311"
"44","C00417"
"46","C05379"
"47","C05381"
"50","C16254"
"54","C00117"
"56","C00119"
"57","C00121"
"59","C00198"
"60","C00199"
"61","C00204"
"63","C00231"
"64","C00257"
"65","C00258"
"66","C00279"
"67","C00345"
"68","C00577"
"69","C00620"
"72","C00672"
"73","C00673"
"74","C01151"
"76","C01218"
"77","C01236"
"78","C01801"
"79","C03752"
"80","C04442"
"83","C05382"
"84","C06019"
"85","C06473"
"86","C20589"
"89","C00029"
"92","C00116"
"93","C00167"
"94","C00181"
"95","C00191"
"99","C00259"
"100","C00266"
"101","C00309"
"102","C00310"
"103","C00312"
"104","C00333"
"105","C00379"
"106","C00433"
"107","C00470"
"108","C00474"
"109","C00476"
"110","C00502"
"111","C00508"
"112","C00514"
"113","C00532"
"114","C00558"
"115","C00618"
"116","C00714"
"117","C00789"
"118","C00800"
"119","C00817"
"120","C00905"
"121","C01068"
"122","C01101"
"123","C01508"
"124","C01904"
"125","C02266"
"126","C02273"
"127","C02426"
"128","C03033"
"129","C03291"
"130","C03826"
"131","C04053"
"132","C04349"
"133","C04575"
"134","C05385"
"135","C05411"
"136","C05412"
"137","C06118"
"138","C06441"
"139","C14899"
"140","C15930"
"141","C20680"
"142","C00095"
"143","C00096"
"146","C00159"
"148","C00247"
"150","C00275"
"151","C00325"
"152","C00392"
"153","C00424"
"154","C00464"
"155","C00507"
"157","C00636"
"158","C00644"
"159","C00665"
"160","C00794"
"161","C00861"
"162","C00976"
"163","C01019"
"164","C01094"
"165","C01096"
"166","C01099"
"167","C01131"
"168","C01222"
"169","C01355"
"170","C01487"
"171","C01720"
"172","C01721"
"173","C01768"
"174","C01934"
"175","C02431"
"176","C02492"
"177","C02888"
"178","C02962"
"179","C02977"
"180","C02985"
"181","C02991"
"182","C03117"
"183","C03267"
"184","C03827"
"185","C03979"
"186","C05144"
"189","C05392"
"190","C06192"
"191","C11516"
"192","C11544"
"193","C18028"
"194","C18096"
"195","C20781"
"198","C00052"
"199","C00085"
"200","C00089"
"206","C00124"
"207","C00137"
"209","C00243"
"211","C00446"
"212","C00492"
"216","C00795"
"217","C00880"
"218","C00984"
"219","C01097"
"220","C01113"
"221","C01132"
"222","C01216"
"223","C01235"
"224","C01286"
"225","C01613"
"226","C01697"
"227","C02262"
"228","C02669"
"229","C03383"
"230","C03733"
"231","C03785"
"232","C05396"
"233","C05399"
"234","C05400"
"235","C05401"
"236","C05402"
"237","C05404"
"238","C05796"
"239","C06311"
"240","C06376"
"241","C06377"
"245","C00072"
"254","C00545"
"257","C00679"
"258","C00684"
"260","C00818"
"261","C00879"
"262","C01040"
"263","C01041"
"265","C01114"
"266","C01115"
"267","C01146"
"268","C01620"
"269","C01825"
"270","C02280"
"271","C02670"
"272","C03064"
"273","C03289"
"275","C03921"
"280","C05422"
"282","C15923"
"283","C15924"
"284","C15925"
"285","C15926"
"287","C16186"
"288","C20889"
"289","C20896"
"290","C21955"
"292","C00083"
"293","C00154"
"294","C00173"
"295","C00229"
"296","C00249"
"297","C00383"
"298","C00638"
"299","C00685"
"300","C00693"
"301","C00712"
"302","C01203"
"303","C01209"
"304","C01271"
"305","C01530"
"306","C01571"
"307","C02679"
"308","C02843"
"309","C03939"
"310","C04088"
"311","C04180"
"312","C04246"
"313","C04618"
"314","C04619"
"315","C04620"
"316","C04633"
"317","C04688"
"318","C05223"
"319","C05744"
"320","C05745"
"321","C05746"
"322","C05747"
"323","C05748"
"324","C05749"
"325","C05750"
"326","C05751"
"327","C05752"
"328","C05753"
"329","C05754"
"330","C05755"
"331","C05756"
"332","C05757"
"333","C05758"
"334","C05759"
"335","C05760"
"336","C05761"
"337","C05762"
"338","C05763"
"339","C05764"
"340","C06423"
"341","C06424"
"342","C08362"
"343","C16219"
"344","C16220"
"345","C16221"
"346","C16520"
"347","C20683"
"348","C20794"
"350","C00040"
"352","C00136"
"354","C00162"
"356","C00264"
"357","C00605"
"359","C00640"
"360","C00658"
"361","C01832"
"362","C01944"
"363","C02593"
"365","C03221"
"366","C05258"
"367","C05259"
"368","C05260"
"369","C05261"
"370","C05262"
"371","C05263"
"372","C05264"
"373","C05265"
"374","C05266"
"375","C05267"
"376","C05268"
"377","C05269"
"378","C05270"
"379","C05271"
"380","C05272"
"381","C05273"
"382","C05274"
"383","C05275"
"384","C05276"
"385","C20876"
"386","C20877"
"387","C20878"
"388","C20879"
"389","C00010"
"391","C00071"
"395","C00226"
"398","C00332"
"399","C00340"
"400","C00435"
"401","C00489"
"402","C00517"
"403","C00527"
"405","C00823"
"406","C00877"
"407","C01144"
"408","C01371"
"412","C02990"
"414","C03547"
"415","C03561"
"416","C05102"
"436","C05279"
"437","C05280"
"440","C00164"
"441","C00207"
"443","C00356"
"444","C01089"
"445","C00187"
"446","C00448"
"447","C00751"
"448","C01054"
"449","C01164"
"450","C01189"
"451","C01561"
"452","C01673"
"453","C01694"
"454","C01724"
"455","C01753"
"456","C01789"
"457","C01802"
"458","C01902"
"459","C01943"
"460","C02141"
"461","C02530"
"462","C03428"
"463","C03845"
"464","C04525"
"465","C05103"
"466","C05107"
"467","C05108"
"468","C05109"
"469","C05437"
"470","C05439"
"471","C05440"
"472","C05441"
"473","C05442"
"474","C05443"
"475","C07712"
"476","C08813"
"477","C08821"
"478","C08830"
"479","C11455"
"480","C11508"
"481","C11522"
"482","C11523"
"483","C15776"
"484","C15777"
"485","C15778"
"486","C15780"
"487","C15781"
"488","C15782"
"489","C15783"
"490","C15808"
"491","C15816"
"492","C15915"
"493","C18231"
"494","C21106"
"495","C22112"
"496","C22116"
"497","C22119"
"498","C22120"
"499","C22121"
"500","C22122"
"501","C22123"
"502","C22136"
"503","C00037"
"505","C00245"
"506","C00695"
"507","C01301"
"508","C01794"
"509","C01921"
"510","C02528"
"511","C03594"
"512","C04554"
"513","C04722"
"514","C05122"
"515","C05337"
"516","C05444"
"517","C05445"
"518","C05446"
"519","C05447"
"520","C05448"
"521","C05449"
