,tn1mean,tn2mean,tn3mean,pn1mean,pn2mean,pn3mean
0.40_160.8785m/z,237.6725244,228.2916981,223.5475005,253.3126319,242.1292618,240.9431008
0.53_174.9560m/z,120.9708108,121.9592097,120.3512815,125.8484963,125.6216185,129.106364
0.57_194.9513m/z,154.2351977,152.6689654,150.9180688,165.8411802,161.3004064,157.5364362
0.64_406.9015m/z,1482.046789,1620.29556,1576.804082,1549.908568,1542.252285,1527.411526
0.64_639.0365n,820.7436912,1176.404908,895.7550614,76.33744295,0,523.1437067
0.65_402.9946m/z,222.3237718,231.1714474,238.3961996,49.1791372,2.016456447,141.4368095
0.65_579.0266m/z,382.9827559,462.0528465,457.4159713,40.35240465,0,135.020498
0.67_191.0196m/z,3145.364146,3328.688636,3164.438633,1371.421353,1577.352744,1282.050463
0.67_225.0087m/z,116.1811359,119.3119988,155.5678535,56.4237134,269.385514,47.52115417
0.67_261.0722m/z,378.2676635,460.8060169,434.3390598,46.40710041,81.84350644,35.32626637
0.67_289.0660m/z,604.9538865,693.1272968,757.1121098,52.77202854,136.5046559,65.79079255
0.67_294.9929m/z,1211.310711,1250.036828,1203.597255,596.9306731,603.5118884,539.3189212
0.67_354.0594m/z,323.1085984,332.5844757,181.8562966,87.5140893,16.62344008,64.21314019
0.67_442.0161m/z,207.8772319,195.56736,279.981384,81.82887279,7.400624317,122.3116773
0.67_611.1446m/z,3094.466663,3081.020577,4736.205457,716.0044416,11.3699175,1345.521403
0.67_633.1260m/z,340.7626417,337.6111031,524.8534753,75.11852528,0.621373612,168.0774889
0.70_134.0220n,229.6885074,272.9321546,246.8346257,118.2436867,349.876399,151.9075175
0.70_210.9956m/z,202.3778423,280.9161677,214.2414259,112.6979472,120.095594,90.55974725
0.70_229.0111m/z,824.6036167,1320.218667,809.3788138,387.1194162,238.912433,362.2535707
0.70_259.0215m/z,489.5913427,689.5841441,569.6027713,120.1404589,802.1914528,95.33593953
0.70_320.0503n,389.6498848,303.7585197,465.4383603,237.2020449,420.0393272,387.8846322
0.70_323.0284m/z,1590.319727,1255.283187,1384.837775,502.3733213,425.5827794,717.6048059
0.70_347.0376m/z,460.7815217,356.0967558,692.6496398,307.275834,58.18486539,238.5000945
0.70_362.0501m/z,2683.578166,2105.974696,2747.179221,352.7726785,6.581130982,594.5958708
0.70_372.9699m/z,359.812355,354.3020561,357.171324,231.8413828,204.6473556,229.0458595
0.70_427.0294n,177.7930224,154.1823966,232.1102875,236.704185,16.70585574,214.7686986
0.70_565.0470m/z,293.0081448,300.1123475,254.1658264,21.66140817,0,71.05394148
0.70_740.2115m/z,281.4763915,334.7135182,311.0716195,0,0,0
0.70_96.9632m/z,1083.03803,1164.843195,1060.861368,1101.769147,1877.75223,921.544986
0.72_263.0080m/z,127.7778225,587.7890409,138.8511066,316.6625937,509.4683955,89.00429312
0.72_300.0465m/z,437.3458876,494.1152422,480.4069905,77.16523273,508.592078,82.87581522
0.72_313.0034m/z,459.9409708,461.7699966,272.7432546,98.11505194,261.5250594,151.3902263
0.72_322.0439m/z,267.3427366,234.3498589,264.9194641,146.2012393,111.7108059,154.4119172
0.72_330.0380n,13.62457561,41.97776602,592.0463952,114.7507658,8.872043392,428.0337699
0.72_356.9922m/z,255.5939337,201.2886225,292.0014805,157.9157744,313.4182213,236.8864223
0.72_389.0485m/z,319.9963983,284.1656861,404.3256629,202.7695943,290.3561653,294.4285355
0.72_391.0059m/z,309.5940051,270.5054464,336.7893934,264.4354061,165.0532485,470.4164352
0.72_606.0741m/z,4041.137441,3825.24717,3238.169438,864.8622896,33.02702287,1240.037424
0.72_629.1328m/z,89.09304401,106.879533,135.3620049,152.7957706,276.7552921,308.5640714
0.72_669.0601m/z,342.7845339,336.5027892,515.5608497,78.89746023,0,180.5647203
0.73_140.0119m/z,911.1124692,886.3139465,1013.537518,161.8791333,202.168237,304.2935488
0.73_174.0407m/z,582.4282909,689.7151026,685.534075,36.69936982,101.8952125,54.95062076
0.73_213.0154m/z,203.9233906,297.334687,228.1380704,26.57435953,68.71006202,16.60945372
0.73_244.0682n,256.8854019,277.4604125,248.6117102,61.72464166,193.3324189,75.98722115
0.73_247.0921m/z,239.7704844,251.331623,369.9664495,110.9778873,181.9112995,200.7295381
0.73_271.0560m/z,368.6199999,428.0798705,397.2441079,45.05049133,41.09176827,66.63482545
0.73_275.0876m/z,191.8525913,232.3350194,229.7729831,19.65746922,70.74072352,23.79646317
0.73_276.9293m/z,776.799159,791.7275254,746.7776182,1045.090391,840.3960768,939.2357293
0.73_281.0340m/z,191.9002077,207.9726837,192.5114295,72.61534184,136.3598985,46.38864648
0.73_305.0677m/z,269.6017824,273.1288858,366.4994332,86.0273416,14.87215304,148.4546854
0.73_309.0351m/z,135.3095433,163.3707624,129.5516097,52.61901771,113.8508839,34.60651344
0.73_343.9949m/z,170.2091867,456.4809312,551.0334321,69.32074034,99.58786104,357.0970401
0.73_386.0326m/z,3822.555859,4072.899866,1607.098601,1048.061805,44.72418335,1586.841303
0.73_399.0443m/z,171.4903089,226.3594292,164.8388689,22.02753896,27.94145856,0.945499204
0.73_445.0518m/z,186.9842596,189.2259212,236.2556124,31.05927318,5.986017883,45.48543013
0.75_156.9418m/z,188.9305016,187.1540667,180.8638011,186.8343371,228.9512375,211.5115316
0.75_168.0426m/z,257.1305963,255.6517491,301.3902828,61.06632742,119.4379271,77.19610325
0.75_175.9559n,759.5536215,750.9616005,715.5742508,763.2207905,893.7673328,834.4517342
0.75_188.0562m/z,139.3286678,154.0160217,154.2076744,32.10777501,151.3962832,32.65774073
0.75_216.9117m/z,396.0713649,375.6880502,392.4944151,368.1956608,575.399043,389.5353116
0.75_235.9275n,674.8193248,640.5452471,649.2084011,892.8885369,837.6658683,1001.846522
0.75_239.0122m/z,199.8437938,192.5605082,210.7098202,105.8032951,176.1593312,76.34479944
0.75_241.0112m/z,56.40243328,76.21334389,53.95408401,34.32638297,602.1451087,6.795843025
0.75_250.0495n,119.7034502,143.0055697,142.9506314,54.04785989,109.3418793,39.06753533
0.75_256.9901m/z,116.5230332,284.3078057,34.71563579,20.50271549,1481.479497,67.57103232
0.75_291.0829m/z,7043.455578,5247.100214,12847.11321,4102.544168,4812.930095,8619.672029
0.75_425.0795m/z,272.7994139,351.9529884,377.9747883,45.46842177,20.27732868,49.29824045
0.77_132.0303m/z,848.4611483,975.938212,951.5129142,394.3842694,975.5241543,848.4927796
0.77_135.0300m/z,359.8075364,367.3007583,445.2705603,131.33078,337.2163143,254.9107961
0.77_146.0460m/z,1112.850818,1514.438347,1181.823028,394.3006172,1519.185729,565.8303874
0.77_165.0401m/z,446.8426246,451.0906993,245.5131206,135.1313803,351.5723747,140.6846412
0.77_171.0060m/z,162.047536,211.6599195,109.3849043,28.64237433,456.8972545,11.05497535
0.77_195.0507m/z,168.6920883,196.0976566,207.2728922,152.5299697,578.1552693,184.1853875
0.77_197.9693m/z,173.2381645,169.6386897,185.5108051,72.1003348,62.3623067,89.38393055
0.77_203.0660m/z,152.8570259,191.4503538,157.0444299,97.11522195,174.2469944,54.28435491
0.77_217.0791m/z,201.5243044,209.4015808,158.6732219,81.17889002,191.5242943,60.69014102
0.77_233.0769m/z,167.9478128,254.5198429,231.1681485,61.02293422,117.1919714,91.73071658
0.77_245.0428m/z,363.6431443,425.4385059,416.1747136,90.08049928,109.5388973,34.30487516
0.77_257.0770m/z,131.5619492,165.3630846,115.8019715,23.17821282,234.5680291,36.61309847
0.77_273.0392m/z,384.3498324,411.6761849,419.8193483,32.34945684,48.95026503,67.86941337
0.77_306.0786m/z,226.1871794,247.5432409,252.2366161,294.9870172,233.9769798,410.6544797
0.77_309.1037n,94.37743555,92.24884901,91.32017079,46.82202022,266.621242,42.86261992
0.77_324.0925m/z,502.9046641,522.6819298,550.3009815,841.382014,1364.59083,1323.308032
0.77_333.0582m/z,1970.101685,2501.434955,1953.390021,185.6639488,266.251287,155.1325944
0.77_343.0902m/z,225.1313691,234.923919,303.6958456,14.57107731,22.20421339,17.15307918
0.77_78.9587m/z,1123.199603,1142.833669,1124.143658,691.7976399,1013.86167,847.7263999
0.79_1026.2642m/z,1685.011497,1868.349253,1535.319409,934.022256,1277.286623,1621.323771
0.79_1028.2537m/z,1899.379373,2102.334145,1712.85671,892.0227568,1366.018264,1799.918455
0.79_676.5089m/z,1887.843835,2086.180028,1647.031379,787.3351752,1312.531492,1664.804016
0.79_792.4266m/z,2305.740937,2546.426542,1958.17724,928.7521337,1566.350146,2012.730551
0.79_823.4010m/z,1983.810305,2213.557108,1701.554775,786.2532396,1359.945723,1770.216509
0.80_1040.3018m/z,385.5605236,424.7191561,383.8201115,294.9792788,332.1815952,365.4831909
0.80_474.7129m/z,223.174495,239.7250309,211.2759566,251.4738919,210.9758569,220.6832184
0.80_492.6803m/z,432.4811127,459.6083296,420.6127328,365.1753627,405.0564741,433.9385912
