"","unlist.path_gene2."
"1","15277"
"2","212032"
"3","15275"
"4","216019"
"5","103988"
"6","14751"
"7","18641"
"8","18642"
"9","56421"
"10","14121"
"11","14120"
"12","11674"
"13","230163"
"14","11676"
"15","353204"
"16","21991"
"17","14433"
"18","14447"
"19","18655"
"20","18663"
"21","18648"
"22","56012"
"23","13806"
"24","13807"
"25","13808"
"26","433182"
"27","226265"
"28","18746"
"29","18770"
"30","18597"
"31","18598"
"32","68263"
"33","235339"
"34","13382"
"35","16828"
"36","16832"
"37","16833"
"38","106557"
"39","11522"
"40","11529"
"41","26876"
"42","11532"
"43","58810"
"44","11669"
"45","11671"
"46","72535"
"47","110695"
"48","56752"
"49","11670"
"50","56847"
"51","67689"
"52","621603"
"53","73458"
"54","68738"
"55","60525"
"56","319625"
"57","72157"
"58","66681"
"59","14377"
"60","14378"
"61","68401"
"62","72141"
"63","12183"
"64","17330"
"65","18534"
"66","74551"
"67","12974"
"68","71832"
"69","104112"
"70","11429"
"71","11428"
"72","15926"
"73","269951"
"74","15929"
"75","67834"
"76","170718"
"77","243996"
"78","18293"
"79","239017"
"80","78920"
"82","56451"
"83","20917"
"84","20916"
"85","66945"
"86","67680"
"87","66052"
"88","66925"
"89","14194"
"90","17449"
"91","17448"
"92","18563"
"100","14380"
"101","14381"
"102","66171"
"103","100198"
"104","110208"
"105","66646"
"106","21881"
"107","83553"
"108","74419"
"109","21351"
"110","19895"
"111","232449"
"112","71336"
"115","19139"
"116","110639"
"117","328099"
"118","75456"
"119","19733"
"120","75731"
"121","235582"
"131","110006"
"132","16591"
"133","22238"
"134","22236"
"135","94284"
"136","94215"
"137","394434"
"138","394430"
"139","394432"
"140","394433"
"141","72094"
"142","552899"
"143","71773"
"144","394435"
"145","394436"
"146","100727"
"147","231396"
"148","100559"
"149","112417"
"150","243085"
"151","22235"
"152","216558"
"154","68631"
"156","102448"
"157","11997"
"158","14187"
"159","11677"
"160","67861"
"161","67880"
"162","20322"
"163","71755"
"164","75847"
"165","110119"
"166","54128"
"167","29858"
"168","331026"
"169","69080"
"170","218138"
"171","22122"
"172","75540"
"173","234730"
"183","18639"
"184","18640"
"185","170768"
"186","270198"
"187","319801"
"188","16548"
"199","225913"
"201","14635"
"202","14430"
"203","74246"
"215","12091"
"216","226413"
"217","16770"
"218","14595"
"219","53418"
"220","11605"
"228","232714"
"229","14387"
"230","76051"
"231","69983"
"251","56727"
"253","268756"
"259","107476"
"260","100705"
"261","257633"
"262","223722"
"263","14104"
"264","71147"
"265","234309"
"266","14979"
"267","109729085"
"268","26922"
"269","99035"
"270","14081"
"271","50790"
"272","216739"
"273","74205"
"274","433256"
"275","328845"
"276","94180"
"277","78625"
"278","52538"
"279","231086"
"280","15107"
"281","97212"
"282","93747"
"284","19063"
"285","54397"
"286","54325"
"287","54326"
"288","12686"
"289","83603"
"290","68801"
"291","170439"
"292","74559"
"293","56348"
"294","70757"
"295","30963"
"296","66775"
"297","57874"
"298","106529"
"299","26897"
"300","171210"
"301","171281"
"302","217698"
"303","171282"
"304","70025"
"305","75778"
"306","66198"
"307","110460"
"308","110446"
"309","113868"
"310","235674"
"315","74147"
"317","80911"
"318","11430"
"319","11409"
"320","11364"
"321","11363"
"322","66885"
"323","11370"
"324","270076"
"333","12894"
"334","12895"
"335","78070"
"336","12896"
"337","13177"
"338","23986"
"339","69123"
"340","13118"
"341","13117"
"342","13119"
"343","435802"
"344","230639"
"345","666168"
"346","100040843"
"347","277753"
"357","208715"
"358","15360"
